  full_name,2022/23 ,2022/23(*)
Landry Shamet,"$3,768,342 ","$4,231,770 "
Chris Duarte,"$3,749,400 ","$4,210,498 "
Alex Len,"$3,732,000 ","$4,190,958 "
Robert Williams,"$3,661,976 ","$4,112,323 "
Aaron Nesmith,"$3,631,200 ","$4,077,762 "
Moses Moody,"$3,562,200 ","$4,000,277 "
Mike Muscala,"$3,500,000 ","$3,930,427 "
Boban Marjanovic,"$3,500,000 ","$3,930,427 "
Cole Anthony,"$3,449,400 ","$3,873,605 "
Corey Kispert,"$3,383,640 ","$3,799,757 "
Luka Samanic,"$3,355,239 ","$3,767,863 "
Georges Niang,"$3,300,000 ","$3,705,831 "
Michael Carter-Williams,"$3,300,000 ","$3,705,831 "
Chuma Okeke,"$3,277,080 ","$3,680,093 "
Isaiah Stewart,"$3,277,080 ","$3,680,093 "
Nickeil Alexander-Walker,"$3,261,480 ","$3,662,574 "
Alperen Sengun,"$3,214,680 ","$3,610,019 "
Jon Leuer,"$3,169,348 ","$3,559,112 "
Trey Burke,"$3,150,000 ","$3,537,384 "
Aleksej Pokusevski,"$3,113,160 ","$3,496,014 "
Facundo Campazzo,"$3,100,000 ","$3,481,236 "
Goga Bitadze,"$3,098,400 ","$3,479,439 "
Trey Murphy,"$3,053,760 ","$3,429,309 "
Frank Jackson,"$3,000,000 ","$3,368,938 "
Sterling Brown,"$3,000,000 ","$3,368,938 "
Josh Green,"$2,957,520 ","$3,321,233 "
Tre Mann,"$2,901,240 ","$3,258,032 "
Andrew Nicholson,"$2,844,429 ","$3,194,235 "
Matisse Thybulle,"$2,840,160 ","$3,189,441 "
Saddiq Bey,"$2,824,320 ","$3,171,653 "
Kai Jones,"$2,770,560 ","$3,111,281 "
Brandon Clarke,"$2,726,880 ","$3,062,229 "
Precious Achiuwa,"$2,711,280 ","$3,044,711 "
Marc Gasol,"$2,692,991 ","$3,024,173 "
Jalen Johnson,"$2,659,680 ","$2,986,765 "
Paul Millsap,"$2,641,691 ","$2,966,564 "
E'Twaun Moore,"$2,641,691 ","$2,966,564 "
Markieff Morris,"$2,641,691 ","$2,966,564 "
Udonis Haslem,"$2,641,691 ","$2,966,564 "
Dwight Howard,"$2,641,691 ","$2,966,564 "
Trevor Ariza,"$2,641,691 ","$2,966,564 "
Wayne Ellington,"$2,641,691 ","$2,966,564 "
Carmelo Anthony,"$2,641,691 ","$2,966,564 "
Avery Bradley,"$2,641,691 ","$2,966,564 "
Enes Kanter,"$2,641,691 ","$2,966,564 "
Andre Iguodala,"$2,641,691 ","$2,966,564 "
Ed Davis,"$2,641,691 ","$2,966,564 "
James Johnson,"$2,641,691 ","$2,966,564 "
LaMarcus Aldridge,"$2,641,691 ","$2,966,564 "
Grant Williams,"$2,617,800 ","$2,939,735 "
Tyrese Maxey,"$2,602,920 ","$2,923,025 "
Keon Johnson,"$2,553,240 ","$2,867,235 "
Darius Bazley,"$2,513,040 ","$2,822,092 "
Trey Lyles,"$2,500,000 ","$2,807,448 "
Zeke Nnaji,"$2,498,760 ","$2,806,055 "
Isaiah Jackson,"$2,451,240 ","$2,752,691 "
Ty Jerome,"$2,412,840 ","$2,709,569 "
Hassan Whiteside,"$2,401,537 ","$2,696,876 "
Kent Bazemore,"$2,401,537 ","$2,696,876 "
Austin Rivers,"$2,401,537 ","$2,696,876 "
Andre Drummond,"$2,401,537 ","$2,696,876 "
Cody Zeller,"$2,389,641 ","$2,683,517 "
Ben McLemore,"$2,389,641 ","$2,683,517 "
Solomon Hill,"$2,389,641 ","$2,683,517 "
Tony Snell,"$2,389,641 ","$2,683,517 "
Victor Oladipo,"$2,389,641 ","$2,683,517 "
Otto Porter,"$2,389,641 ","$2,683,517 "
Leandro Bolmaro,"$2,353,320 ","$2,642,729 "
Usman Garuba,"$2,353,320 ","$2,642,729 "
Willy Hernangomez,"$2,327,220 ","$2,613,420 "
Edmond Sumner,"$2,320,000 ","$2,605,312 "
Nassir Little,"$2,316,240 ","$2,601,089 "
RJ Hampton,"$2,303,040 ","$2,586,266 "
DeAndre Bembry,"$2,271,045 ","$2,550,336 "
Josh Christopher,"$2,259,240 ","$2,537,079 "
Monta Ellis,"$2,245,400 ","$2,521,537 "
Drew Eubanks,"$2,239,820 ","$2,515,271 "
Elfrid Payton,"$2,239,544 ","$2,514,961 "
Rodney Hood,"$2,239,544 ","$2,514,961 "
Dylan Windler,"$2,239,200 ","$2,514,575 "
Immanuel Quickley,"$2,210,640 ","$2,482,503 "
John Konchar,"$2,200,000 ","$2,470,554 "
Quentin Grimes,"$2,168,640 ","$2,435,337 "
Jordan Poole,"$2,161,440 ","$2,427,252 "
Bol Bol,"$2,161,152 ","$2,426,929 "
Keldon Johnson,"$2,145,720 ","$2,409,599 "
Payton Pritchard,"$2,137,440 ","$2,400,301 "
Jahlil Okafor,"$2,130,023 ","$2,391,971 "
Bones Hyland,"$2,096,880 ","$2,354,752 "
Raul Neto,"$2,089,448 ","$2,346,406 "
Frank Kaminsky,"$2,089,448 ","$2,346,406 "
Nemanja Bjelica,"$2,089,448 ","$2,346,406 "
